gis_Accessibility;gis_ACSupplyVoltage;gis_ACSupplyVoltageTolerance;gis_BayCabling;gis_BayCablingType;gis_BayInterface;gis_BayInterfaceEngineering;gis_BayInterfaceSupplier;gis_BusbarConfiguration;gis_CableTypeLCC_AC;gis_CableTypeLCC_DC;gis_CableTypeLCC_Interlocking;gis_CableTypeSAIsolatingLink;gis_CableTypeToCT;gis_CableTypeToDensityMonitor;gis_CableTypeToHVDevice;gis_CableTypeToVT;gis_CableTypeVTIsolatingLink;gis_ControlType;gis_CoreIdentificationBayInterface;gis_CoverPlateCBDriveWithHandle;gis_DCSupplyVoltage1;gis_DCSupplyVoltage2;gis_DCSupplyVoltageTolerance;gis_DisconnectingVoltageSupply;gis_ExistingBuilding;gis_ExistingGISExtension;gis_ExistingGISExtensionDirection;gis_ExtensionWithoutSwitchingOff;gis_FailureTypeCircuitBreaker;gis_FailureTypeCrossModule;gis_FunctionRangeClosingCoilControlVoltageCB;gis_FunctionRangeMotorControlVoltageDSES;gis_FunctionRangeTrippingCoilCB;gis_FutureExtensionBusbarEnds;gis_HVTestAfterCircuitBreakerMaintenance;gis_HVTestAfterCrossModuleMaintenance;gis_InspectionWindowCover;gis_InspectionWindowSpringPositionCB;gis_InstallationSite;gis_LockingMotorDriveThreePositionCM;gis_LockingMotorDriveTwoPositionDS;gis_MechanicalBlockingDeviceShaftDS;gis_MechanicalBlockingDriveES;gis_MechanicalBlockingDriveHSES;gis_MechanicalBlockingDriveLinkageES;gis_MechanicalBlockingDriveLinkageHSES;gis_MechanicalBlockingDriveShaftDS;gis_MotorControlVoltageDSES;gis_MotorVoltageCB;gis_MotorVoltageToleranceRangeCB;gis_NoFutureBaysLeft;gis_NoFutureBaysRight;gis_OperatingTempIndoorMax;gis_OperatingTempIndoorMin;gis_OperatingTempOutdoorMax;gis_OperatingTempOutdoorMin;gis_PositionInspectionWindow;gis_RatedCurrentBusbar;gis_RatedCurrentFeeder;gis_RCSTool;gis_ReducedIntermediateGascompartment;gis_SecondGasMonitoring;gis_SingleBusbarMountingPosition;gis_SpecifiedMRELevelBusbar;gis_SpecifiedMRELevelCircuitBreaker;gis_SurfaceCorrosionProtectionOutdoor;gis_SurfaceCorrosionProtectionIndoor;gis_WeatherProtectiveCoverDensitySwitch;gis_ColourSwitchgear;gis_OperatingVoltage;gis_RatedFrequency;gis_RatedVoltage
Standard;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket and cable plate;halogenfree;Integrated control cubicle size A, height 800 (iLCC);Engineering Headquarter;HP GIS SWH Berlin;Double busbar;LiHHC11Y 4x4 (halogenfree);LiHHC11Y 4x4 (halogenfree);not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;LiHC11Y 25G1,5 (halogenfree) / LI2XCQ 47G1,5 (halogenfree);digital control;no;no;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;no;no;not applicable;not applicable;not applicable;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);not applicable;not applicable;not applicable;not applicable;standard (closed doors);Indoor, if applicable with modules to outdoor;yes, without U-Lock;yes, without U-Lock;no;no;no;no;no;no;110 V DC;110 V DC;-15% ... +10% (IEC);0;0;40;-5;40;-25;without inspection window;3150;2500;no;no;no;not applicable;MRE-4 (Standard);MRE-4 (Standard);Outdoor standard;Indoor standard;no;RAL 1013 (pearl white);110;50;145
Standard;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket and cable plate;halogenfree;Integrated control cubicle size B, height 1400 (iLCC);Engineering Headquarter;HP GIS SWH Berlin;Double busbar;LiHHC11Y 4x4 (halogenfree);LiHHC11Y 4x4 (halogenfree);LiHC11Y 25G1,5 (halogenfree);LiHC11Y 25G1,5 (halogenfree);LiHHC11Y 7G4,0 (halogenfree);LIHC11Y 7G1,5 (halogenfree);LI2XCQ 47G1,5 (halogenfree);LiHHC11Y 7G2,5 (halogenfree);LiHC11Y 25G1,5 (halogenfree) / LI2XCQ 47G1,5 (halogenfree);conventional control;Fixed, white with local-end connection labelling, transparent sleeves (labelling standard) (surcharge);no;220 V DC;220 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;no;no;not applicable;yes, only neighboring bay;not applicable;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);to the left side;not applicable;not applicable;not applicable;standard (closed doors);Indoor, if applicable with modules to outdoor;yes, without U-Lock;yes, without U-Lock;no;no;no;no;no;no;220 V DC;220 V DC;-15% ... +10% (IEC);1;0;40;-5;-1;-1;without inspection window;2500;1250;yes;no;no;not applicable;MRE-4 (Standard);MRE-4 (Standard);not applicable;Indoor standard;no;RAL 1013 (pearl white);138;50;145
Standard;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket and cable plate;halogenfree;Integrated control cubicle size A, height 800 (iLCC);Engineering Regional Company;HP GIS SWH Berlin;Single busbar;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;digital control;no;no;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;no;no;not applicable;not applicable;not applicable;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);not applicable;not applicable;not applicable;not applicable;standard (closed doors);Indoor, if applicable with modules to outdoor;yes, without U-Lock;yes, without U-Lock;no;no;no;no;no;no;110 V DC;110 V DC;-15% ... +10% (IEC);0;0;40;-5;40;-25;without inspection window;2500;1600;no;no;no;BB1 lower;MRE-4 (Standard);MRE-4 (Standard);Outdoor standard;Indoor standard;no;RAL 1013 (pearl white);110;50;145
Standard;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket;halogenfree;Current transformer terminal box (CTB);Engineering Headquarter;HP GIS SWH Berlin;Single busbar;not applicable;not applicable;not applicable;not applicable;LiHHC11Y 7G4,0 (halogenfree);not applicable;not applicable;not applicable;not applicable;not applicable;no;no;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;yes;no;not applicable;not applicable;maintenance;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);to the left and right side;no;not applicable;not applicable;with inspection window ON/OFF for spring drive mechanism and accessibility motor winding and releases  (only P1 V G);Indoor, if applicable with modules to outdoor;yes, with U-Lock (surcharge);yes, with U-Lock (surcharge);yes, without U-lock;yes, without U-lock;yes, without U-lock;yes, without U-lock;yes, without U-lock;yes, without U-lock;110 V DC;110 V DC;-15% ... +10% (IEC);1;1;45;-25;45;-25;without inspection window;2000;2000;yes;no;no;BB1 lower;MRE-4 (Standard);MRE-0;Outdoor standard;Indoor standard;no;RAL 1013 (pearl white);132;50;145
Standard;400/230 V AC;-15% ... +10% (IEC);bay cables;halogenfree;Seperated local control cubicle (sLCC);Engineering Headquarter;HP GIS Sub-Supplier;Double busbar;LiHHC11Y 4x4 (halogenfree);LiHHC11Y 4x4 (halogenfree);LiHC11Y 25G1,5 (halogenfree);LiHC11Y 25G1,5 (halogenfree);LiHHC11Y 7G4,0 (halogenfree);LIHC11Y 7G1,5 (halogenfree);LIHC11Y 47G1,5 (halogenfree);LiHHC11Y 7G2,5 (halogenfree);not applicable;conventional control;no;no;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;no;no;not applicable;yes, switch-off only during HV-test;not applicable;electrical failure;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);to the left and right side;not applicable;no;not applicable;standard (closed doors);Indoor, if applicable with modules to outdoor;yes, with U-Lock (surcharge);yes, with U-Lock (surcharge);no;no;no;no;no;no;110 V DC;110 V DC;-15% ... +10% (IEC);2;2;50;-5;50;-5;at ES, HSES and DC;3150;2500;yes;no;no;not applicable;MRE-2;MRE-4 (Standard);Outdoor special (surcharge);Indoor standard;Yes (for density switch outdoor as sun and rain protection);RAL 1013 (pearl white);132;50;145
Each second bay;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket;halogenfree;Current transformer terminal box (CTB);Engineering Headquarter;HP GIS SWH Berlin;Double busbar;not applicable;not applicable;not applicable;not applicable;LiHHC11Y 7G4,0 (halogenfree);not applicable;not applicable;not applicable;not applicable;not applicable;no;no;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;no;no;not applicable;not applicable;not applicable;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);not applicable;not applicable;not applicable;not applicable;standard (closed doors);Indoor, if applicable with modules to outdoor;yes, without U-Lock;yes, without U-Lock;no;no;no;no;no;no;110 V DC;110 V DC;-15% ... +10% (IEC);0;0;50;-5;50;-5;at ES, HSES and DC;3150;2000;yes;no;no;not applicable;MRE-4 (Standard);MRE-4 (Standard);Outdoor special (surcharge);Indoor standard;Yes (for density switch outdoor as sun and rain protection);RAL 1013 (pearl white);132;50;145
Standard;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket and cable plate;halogenfree;Integrated control cubicle size A, height 800 (iLCC);Engineering Headquarter;HP GIS SWH Berlin;Double busbar;LiHHC11Y 4x4 (halogenfree);LiHHC11Y 4x4 (halogenfree);not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;LiHC11Y 25G1,5 (halogenfree) / LI2XCQ 47G1,5 (halogenfree);digital control;no;no;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;no;no;not applicable;not applicable;not applicable;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);not applicable;not applicable;not applicable;not applicable;standard (closed doors);Indoor, if applicable with modules to outdoor;yes, without U-Lock;yes, without U-Lock;no;no;no;no;no;no;110 V DC;110 V DC;-15% ... +10% (IEC);0;0;40;-5;40;-25;without inspection window;3150;2500;no;no;no;not applicable;MRE-4 (Standard);MRE-4 (Standard);Outdoor standard;Indoor standard;no;RAL 1013 (pearl white);110;50;145
Each bay;400/230 V AC;-15% ... +10% (IEC);bay cables;halogenfree;Seperated local control cubicle (sLCC);Engineering Headquarter;HP GIS Sub-Supplier;Double busbar;LiHHC11Y 4x4 (halogenfree);LiHHC11Y 4x4 (halogenfree);not applicable;LiHC11Y 25G1,5 (halogenfree);LiHHC11Y 7G4,0 (halogenfree);LIHC11Y 7G1,5 (halogenfree);LIHC11Y 47G1,5 (halogenfree);LiHHC11Y 7G2,5 (halogenfree);not applicable;digital control;fixed, white with both-end connection labelling (type size 1mm), transparent sleeves (surcharge);no;220 V DC;220 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;no;no;not applicable;not applicable;maintenance;maintenance;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);not applicable;yes;yes;For all inspection windows;with inspection window ON/OFF for spring drive mechanism;Indoor, if applicable with modules to outdoor;yes, with U-Lock (surcharge);yes, with U-Lock (surcharge);no;yes, with U-lock (surcharge);yes, with U-lock (surcharge);no;no;yes, with U-lock (surcharge);220 V DC;220 V DC;-15% ... +10% (IEC);0;0;40;-5;-1;-1;at ES, HSES and DC;2500;2000;yes;yes;no;not applicable;MRE-1;MRE-1;not applicable;Indoor special (surcharge);no;RAL 1013 (pearl white);110;50;123
Standard;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket, cable plate and dummy frame;halogenfree;Integrated control cubicle size A, height 800 (iLCC);not applicable;External (not in scope of HP GIS);Double busbar;LiHHC11Y 4x4 (halogenfree);LiHHC11Y 4x4 (halogenfree);not applicable;LiHC11Y 25G1,5 (halogenfree);LiHHC11Y 7G4,0 (halogenfree);LIHC11Y 7G1,5 (halogenfree);LI2XCQ 47G1,5 (halogenfree);LiHHC11Y 7G2,5 (halogenfree);LiHC11Y 25G1,5 (halogenfree) / LI2XCQ 47G1,5 (halogenfree);digital control;not applicable;no;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;no;no;not applicable;not applicable;electrical failure;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);not applicable;yes;not applicable;not applicable;standard (closed doors);Indoor, if applicable with modules to outdoor;yes, without U-Lock;yes, without U-Lock;no;no;no;no;no;no;110 V DC;110 V DC;-15% ... +10% (IEC);0;0;40;-5;-1;-1;without inspection window;3150;2500;yes;no;no;not applicable;MRE-4 (Standard);MRE-1;not applicable;Indoor standard;no;RAL 1013 (pearl white);132;50;145
Each second bay;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket;halogenfree;Current transformer terminal box (CTB);Engineering Headquarter;HP GIS SWH Berlin;Double busbar;not applicable;not applicable;not applicable;not applicable;LiHHC11Y 7G4,0 (halogenfree);not applicable;not applicable;not applicable;not applicable;not applicable;no;no;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;no;no;not applicable;not applicable;not applicable;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);not applicable;not applicable;not applicable;not applicable;standard (closed doors);Indoor, if applicable with modules to outdoor;yes, without U-Lock;yes, without U-Lock;no;no;no;no;no;no;110 V DC;110 V DC;-15% ... +10% (IEC);0;0;50;-5;50;-5;at ES, HSES and DC;3150;2000;yes;no;no;not applicable;MRE-4 (Standard);MRE-4 (Standard);Outdoor special (surcharge);Indoor standard;Yes (for density switch outdoor as sun and rain protection);RAL 1013 (pearl white);132;50;145
Standard;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket, cable plate and dummy frame;halogenfree;Transfer cubicle size B, height 1400 (TC);not applicable;External (not in scope of HP GIS);Single busbar;LiHHC11Y 4x4 (halogenfree);LiHHC11Y 4x4 (halogenfree);not applicable;LiHC11Y 25G1,5 (halogenfree);LiHHC11Y 7G4,0 (halogenfree);LIHC11Y 7G1,5 (halogenfree);LI2XCQ 47G1,5 (halogenfree);LiHHC11Y 7G2,5 (halogenfree);LiHC11Y 25G1,5 (halogenfree) / LI2XCQ 47G1,5 (halogenfree);not applicable;not applicable;no;220 V DC;220 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;no;no;not applicable;not applicable;not applicable;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);not applicable;not applicable;not applicable;not applicable;standard (closed doors);Indoor, if applicable with modules to outdoor;yes, without U-Lock;yes, without U-Lock;no;no;no;no;no;no;220 V DC;220 V DC;-15% ... +10% (IEC);0;0;40;-5;-1;-1;without inspection window;1250;1250;no;no;no;BB1 lower;MRE-4 (Standard);MRE-4 (Standard);not applicable;Indoor standard;not applicable;RAL 1013 (pearl white);110;50;145
Standard;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket and cable plate;halogenfree;Integrated control cubicle size A, height 800 (iLCC);Engineering Headquarter;HP GIS SWH Berlin;Double busbar;LiHHC11Y 4x4 (halogenfree);LiHHC11Y 4x4 (halogenfree);not applicable;not applicable;not applicable;not applicable;LI2XCQ 47G1,5 (halogenfree);not applicable;LiHC11Y 25G1,5 (halogenfree) / LI2XCQ 47G1,5 (halogenfree);digital control;no;no;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;no;no;not applicable;not applicable;not applicable;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);not applicable;not applicable;not applicable;not applicable;standard (closed doors);Outdoor;yes, without U-Lock;yes, without U-Lock;no;no;no;no;no;no;110 V DC;110 V DC;-15% ... +10% (IEC);0;0;-1;-1;40;-25;without inspection window;3150;2500;no;no;no;not applicable;MRE-4 (Standard);MRE-4 (Standard);Outdoor standard;not applicable;no;RAL 1013 (pearl white);110;50;145
Each second bay;400/230 V AC;-15% ... +10% (IEC);not applicable;not applicable;not applicable;not applicable;not applicable;Double busbar;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;yes;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;no;no;not applicable;yes, switch-off only during HV-test;maintenance;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);to the left and right side;no;not applicable;not applicable;with inspection window ON/OFF for spring drive mechanism and accessibility motor winding and releases  (only P1 V G);Indoor, if applicable with modules to outdoor;yes, without U-Lock;yes, without U-Lock;no;no;no;no;no;no;110 V DC;110 V DC;-15% ... +10% (IEC);4;4;50;-5;-1;-1;without inspection window;2000;1600;yes;no;no;not applicable;MRE-4 (Standard);MRE-1;Outdoor standard;Indoor standard;no;RAL 7032 (pebble grey);132;50;145
Each second bay;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket, cable plate and dummy frame;halogenfree;Integrated control cubicle size A, height 800 (iLCC);not applicable;External (not in scope of HP GIS);Double busbar;LiHHC11Y 4x4 (halogenfree);LiHHC11Y 4x4 (halogenfree);not applicable;LiHC11Y 25G1,5 (halogenfree);LiHHC11Y 7G4,0 (halogenfree);LIHC11Y 7G1,5 (halogenfree);LI2XCQ 47G1,5 (halogenfree);LiHHC11Y 7G2,5 (halogenfree);LiHC11Y 25G1,5 (halogenfree) / LI2XCQ 47G1,5 (halogenfree);digital control;not applicable;no;220 V DC;220 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;yes;no;not applicable;yes, switch-off only during HV-test;maintenance;maintenance;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);to the right side;yes;yes;not applicable;standard (closed doors);Indoor, if applicable with modules to outdoor;yes, without U-Lock;yes, without U-Lock;no;no;no;no;no;no;220 V DC;220 V DC;-15% ... +10% (IEC);0;1;40;-5;-1;-1;without inspection window;3150;3150;yes;yes;no;not applicable;MRE-1;MRE-1;not applicable;Indoor standard;no;RAL 1013 (pearl white);132;50;145
Standard;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket and cable plate;halogenfree;Integrated control cubicle size A, height 800 (iLCC);Engineering Headquarter;HP GIS SWH Berlin;Double busbar;LiHHC11Y 4x4 (halogenfree);LiHHC11Y 4x4 (halogenfree);not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;LiHC11Y 25G1,5 (halogenfree) / LI2XCQ 47G1,5 (halogenfree);digital control;no;no;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;no;no;not applicable;not applicable;not applicable;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);to the left and right side;not applicable;not applicable;not applicable;standard (closed doors);Indoor, if applicable with modules to outdoor;yes, without U-Lock;yes, without U-Lock;no;no;no;no;no;no;110 V DC;110 V DC;-15% ... +10% (IEC);1;1;40;-5;40;-25;without inspection window;3150;2500;no;no;no;not applicable;MRE-4 (Standard);MRE-4 (Standard);Outdoor standard;Indoor standard;no;RAL 1013 (pearl white);110;50;145
Each second bay;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket and cable plate;halogenfree;Integrated control cubicle size A, height 800 (iLCC);Engineering Regional Company;HP GIS SWH Berlin;Double busbar;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;digital control;no;no;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;yes;no;not applicable;not applicable;not applicable;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);not applicable;not applicable;not applicable;not applicable;standard (closed doors);Indoor, if applicable with modules to outdoor;yes, without U-Lock;yes, without U-Lock;no;no;no;no;no;no;110 V DC;110 V DC;-15% ... +10% (IEC);0;0;40;-5;40;-25;without inspection window;3150;1600;no;no;no;not applicable;MRE-4 (Standard);MRE-4 (Standard);Outdoor standard;Indoor standard;no;RAL 1013 (pearl white);110;50;145
Each second bay;400/230 V AC;-15% ... +10% (IEC);bay cables;halogenfree;Seperated local control cubicle (sLCC);Engineering Headquarter;HP GIS Sub-Supplier;Double busbar;LiHHC11Y 4x4 (halogenfree);LiHHC11Y 4x4 (halogenfree);not applicable;LiHC11Y 25G1,5 (halogenfree);LiHHC11Y 7G4,0 (halogenfree);LIHC11Y 7G1,5 (halogenfree);LIHC11Y 47G1,5 (halogenfree);LiHHC11Y 7G2,5 (halogenfree);not applicable;digital control;fixed, white with both-end connection labelling (type size 1mm), transparent sleeves (surcharge);no;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;no;no;not applicable;yes, switch-off only during HV-test;not applicable;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);to the left and right side;not applicable;not applicable;Outdoor only;with inspection window ON/OFF for spring drive mechanism;Indoor, if applicable with modules to outdoor;yes, with U-Lock (surcharge);yes, with U-Lock (surcharge);no;no;no;no;no;no;110 V DC;110 V DC;-15% ... +10% (IEC);4;4;50;-5;50;-5;at ES, HSES and DC;3150;2500;yes;no;no;not applicable;MRE-4 (Standard);MRE-4 (Standard);Outdoor special (surcharge);Indoor standard;Yes (for density switch outdoor as sun and rain protection);RAL 1013 (pearl white);132;50;145
Each second bay;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket and cable plate;halogenfree;Transfer cubicle size A, height 800 (TC);Engineering Headquarter;HP GIS SWH Berlin;Single busbar;LiHHC11Y 4x4 (halogenfree);LiHHC11Y 4x4 (halogenfree);not applicable;LiHC11Y 25G1,5 (halogenfree);LiHHC11Y 7G4,0 (halogenfree);LIHC11Y 7G1,5 (halogenfree);LI2XCQ 47G1,5 (halogenfree);LiHHC11Y 7G2,5 (halogenfree);LiHC11Y 25G1,5 (halogenfree) / LI2XCQ 47G1,5 (halogenfree);not applicable;Fixed, white with local-end connection labelling, transparent sleeves (labelling standard) (surcharge);no;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;yes;no;not applicable;not applicable;not applicable;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);to the right side;not applicable;not applicable;not applicable;standard (closed doors);Indoor, if applicable with modules to outdoor;yes, without U-Lock;yes, without U-Lock;no;no;yes, without U-lock;no;no;no;110 V DC;110 V DC;-15% ... +10% (IEC);0;1;40;-30;-1;-1;without inspection window;1250;1250;yes;no;no;BB1 lower;MRE-4 (Standard);MRE-4 (Standard);not applicable;Indoor standard;no;RAL 1013 (pearl white);110;50;123
Standard;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket and cable plate;halogenfree;Integrated control cubicle size B, height 1400 (iLCC);Engineering Regional Company;HP GIS SWH Berlin;Single busbar;LiHHC11Y 4x4 (halogenfree);LiHHC11Y 4x4 (halogenfree);LiHC11Y 25G1,5 (halogenfree);LiHC11Y 25G1,5 (halogenfree);LiHHC11Y 7G4,0 (halogenfree);LIHC11Y 7G1,5 (halogenfree);LI2XCQ 47G1,5 (halogenfree);LiHHC11Y 7G2,5 (halogenfree);LiHC11Y 25G1,5 (halogenfree) / LI2XCQ 47G1,5 (halogenfree);conventional control;fixed, white with both-end connection labelling (type size 1mm), transparent sleeves (surcharge);no;125 V DC;125 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;yes;no;not applicable;not applicable;mechanical failure;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);not applicable;yes;not applicable;not applicable;standard (closed doors);Indoor, if applicable with modules to outdoor;yes, with U-Lock (surcharge);yes, with U-Lock (surcharge);yes, with U-lock (surcharge);yes, without U-lock;yes, without U-lock;no;no;yes, without U-lock;125 V DC;125 V DC;-15% ... +10% (IEC);0;0;40;-5;-1;-1;without inspection window;2000;2000;yes;no;no;BB1 upper;MRE-4 (Standard);MRE-0;not applicable;Indoor standard;no;RAL 1013 (pearl white);115;50;123
Standard;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket and cable plate;halogenfree;Integrated control cubicle size A, height 800 (iLCC);Engineering Headquarter;HP GIS SWH Berlin;Double busbar;LiHHC11Y 4x4 (halogenfree);LiHHC11Y 4x4 (halogenfree);not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;LiHC11Y 25G1,5 (halogenfree) / LI2XCQ 47G1,5 (halogenfree);digital control;no;no;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;no;no;not applicable;not applicable;not applicable;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);not applicable;not applicable;not applicable;not applicable;standard (closed doors);Indoor, if applicable with modules to outdoor;yes, without U-Lock;yes, without U-Lock;no;no;no;no;no;no;110 V DC;110 V DC;-15% ... +10% (IEC);0;0;40;-5;40;-25;without inspection window;3150;2500;no;no;no;not applicable;MRE-4 (Standard);MRE-4 (Standard);Outdoor standard;Indoor standard;no;RAL 1013 (pearl white);110;50;145
Standard;400/230 V AC;-15% ... +10% (IEC);bay cables with bay cabling by SWH Berlin with support bracket, cable plate and dummy frame;halogenfree;Transfer cubicle size A, height 800 (TC);Engineering Headquarter;HP GIS Sub-Supplier;Double busbar;LiHHC11Y 4x4 (halogenfree);LiHHC11Y 4x4 (halogenfree);not applicable;LiHC11Y 25G1,5 (halogenfree);LiHHC11Y 7G4,0 (halogenfree);LIHC11Y 7G1,5 (halogenfree);LI2XCQ 47G1,5 (halogenfree);LiHHC11Y 7G2,5 (halogenfree);LiHC11Y 25G1,5 (halogenfree) / LI2XCQ 47G1,5 (halogenfree);not applicable;no;no;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);yes;no;no;not applicable;not applicable;not applicable;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);to the left and right side;not applicable;not applicable;not applicable;standard (closed doors);Indoor, if applicable with modules to outdoor;yes, without U-Lock;yes, without U-Lock;no;no;no;no;no;no;110 V DC;110 V DC;-15% ... +10% (IEC);1;1;40;-5;40;-25;without inspection window;3150;2500;no;no;no;not applicable;MRE-4 (Standard);MRE-4 (Standard);Outdoor standard;Indoor standard;no;RAL 1013 (pearl white);110;50;145
Standard;415/240 V AC;-15% ... +10% (IEC);not applicable;not applicable;not applicable;not applicable;not applicable;Single busbar;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;not applicable;no;110 V DC;110 V DC;+10% ... -15% IEC (for 110 V, 125 V, 220 V);no;no;no;not applicable;yes, without switch-off of other busbar sections;not applicable;not applicable;-15% ... +10% (IEC);-15% ... +10% (IEC);-30% ... +10% (IEC);to the left and right side;not applicable;not applicable;Outdoor only;with inspection window ON/OFF for spring drive mechanism;Outdoor;yes, with U-Lock (surcharge);yes, with U-Lock (surcharge);no;no;no;no;no;no;110 V DC;110 V DC;-15% ... +10% (IEC);1;1;-1;-1;40;-30;at ES, HSES and DC;3150;2000;no;no;no;BB1 lower;MRE-4 (Standard);MRE-4 (Standard);Outdoor special (surcharge);not applicable;Yes (for density switch outdoor as sun and rain protection);RAL 1013 (pearl white);110;50;123
